No.;Precision;Recall;F1Score;Accuracy
1;53.41614906832298;38.91402714932127;45.0261780104712;98.48093083387201
2;60.24844720496895;44.907407407407405;51.45888594164456;98.68131868131869
3;59.541984732824424;54.35540069686411;56.83060109289618;99.13937195490593
4;60.76555023923444;50.59760956175299;55.21739130434783;98.21172616203671
5;52.96803652968036;67.83625730994152;59.48717948717949;98.9483634644925
6;69.75308641975309;55.1219512195122;61.58038147138966;97.54807692307692
7;47.081712062256805;42.75618374558304;44.81481481481481;97.37556561085972
8;64.82758620689654;55.62130177514793;59.87261146496815;98.79644165358451
9;65.2671755725191;62.637362637362635;63.925233644859816;99.13926377804705
10;69.00584795321637;61.56521739130435;65.07352941176471;98.11616954474097
11;44.20289855072464;40.939597315436245;42.508710801393725;98.81706528765352
12;52.48618784530387;50.0;51.21293800539083;98.47271372695101
13;56.17977528089888;43.859649122807014;49.26108374384236;98.4103682576965
14;62.57309941520468;53.768844221105525;57.837837837837846;98.7334699199106
15;51.31578947368421;48.34710743801653;49.787234042553195;98.23025811397905
16;66.22073578595318;60.73619631901841;63.36000000000001;98.32995951417004
17;57.56302521008403;47.9020979020979;52.29007633587786;97.8021978021978
18;63.28125;47.368421052631575;54.18060200668896;98.98062463851937
19;70.04608294930875;75.43424317617865;72.64038231780167;98.80652134750495
20;51.698113207547166;61.990950226244344;56.37860082304527;98.44706192011581
21;49.333333333333336;40.43715846994536;44.44444444444444;98.87733887733889
22;40.116279069767444;44.230769230769226;42.07317073170731;98.86877828054298
23;68.80952380952381;58.620689655172406;63.30777656078861;97.75147928994082
24;53.432282003710576;51.61290322580645;52.50683682771194;98.09121514323826
25;71.62921348314607;69.67213114754098;70.6371191135734;99.2364131336941
26;61.72839506172839;51.94805194805194;56.41748942172073;97.34203296703296
27;63.23529411764706;54.77707006369427;58.703071672354945;99.44618873190302
28;55.64356435643565;50.0;52.67104029990628;97.47175901022055
29;37.74834437086093;41.605839416058394;39.58333333333333;98.64864864864865
30;31.35593220338983;50.68493150684932;38.74345549738219;98.65689865689866
31;58.91472868217055;39.175257731958766;47.05882352941176;98.66349866349866
32;61.8421052631579;52.02952029520295;56.513026052104195;98.7012987012987
33;58.2089552238806;74.28571428571429;65.27196652719665;99.24502977938093
34;47.34513274336283;53.5;50.23474178403756;98.85092076872898
35;73.10924369747899;53.15682281059063;61.556603773584904;98.56203276277625
36;52.24719101123596;45.36585365853659;48.56396866840731;98.04557858249133
37;63.26530612244898;74.69879518072288;68.50828729281768;99.47946790052053
38;65.65420560747664;66.9047619047619;66.27358490566037;98.15159199774584
39;55.89123867069487;60.65573770491803;58.176100628930826;98.8971028971029
40;57.36434108527132;49.664429530201346;53.23741007194245;98.93677750820608
41;41.07142857142857;44.74708171206226;42.83054003724395;98.71859589174076
42;61.78343949044586;54.18994413407822;57.738095238095234;99.27402913828253
43;62.5;68.54838709677419;65.38461538461537;99.16114419931213
44;60.63829787234043;56.99999999999999;58.762886597938135;99.06759906759906
45;61.53846153846154;52.459016393442624;56.63716814159292;98.81697250118303
46;64.12213740458014;59.7864768683274;61.87845303867402;98.13112058010017
47;46.57534246575342;42.5;44.44444444444445;98.7154737154737
48;53.39506172839506;70.90163934426229;60.91549295774647;97.85965668318609
49;58.2995951417004;55.38461538461539;56.80473372781065;98.2554945054945
50;54.166666666666664;59.907834101382484;56.89277899343544;98.46153846153847
