Exp. No.;Combination;Train DS Length;Test DataSet;Test DS Length;Precision;Recall;F1Score;Accuracy
1;T100:GS0;1038;Test;2110;98.4030182438369;97.57597499103163;97.98775153105862;99.4265222972596
1;T100:GS0;1038;GS91;92;90.0459418070444;87.89237668161435;88.95612708018153;97.83220141318515
2;T100:GS0;1038;Test;2110;98.46140981687432;97.35266882730339;97.90390035835736;99.40300518265599
2;T100:GS0;1038;GS91;92;87.5;84.05017921146953;85.74040219378428;95.75640515821166
3;T100:GS0;1038;Test;2110;98.26066046809875;97.93567354242893;98.09789784503108;99.48428215469083
3;T100:GS0;1038;GS91;92;86.95846359982134;86.3031914893617;86.62958843159065;96.04370534910248
4;T100:GS0;1038;Test;2110;98.27595515323844;97.97093649085038;98.12320878291571;99.45407434100375
4;T100:GS0;1038;GS91;92;89.77072310405644;86.63829787234043;88.17669987007363;96.92399581902345
1;T100:GS3;1071;Test;2110;98.4655875320386;97.78267479799791;98.12294295117937;99.45605663150452
1;T100:GS3;1071;GS91;92;89.40677966101694;86.7339312406577;88.05007587253414;97.64354805515538
2;T100:GS3;1071;Test;2110;98.50467912212342;97.81731596005027;98.15979424209739;99.48089237673825
2;T100:GS3;1071;GS91;92;85.00881834215167;86.37992831541219;85.68888888888888;95.89842640459013
3;T100:GS3;1071;Test;2110;98.6650093626913;97.65766053653314;98.15875055205365;99.50329196825157
3;T100:GS3;1071;GS91;92;90.41887337506019;83.24468085106383;86.68359104546505;96.07972624121992
4;T100:GS3;1071;Test;2110;98.6298163485776;98.27592393254395;98.45255212077642;99.55384611613238
4;T100:GS3;1071;GS91;92;89.34426229508196;88.12765957446808;88.7317909168809;97.13802199990045
1;T100:GS6;1104;Test;2110;98.3897576903248;97.80317395240779;98.09558892820121;99.44280106416625
1;T100:GS6;1104;GS91;92;89.54022988505747;87.33183856502242;88.422247446084;97.67098854359607
2;T100:GS6;1104;Test;2110;98.61976182171507;98.18109663337522;98.3999403395673;99.56172665383984
2;T100:GS6;1104;GS91;92;86.16548042704626;86.7831541218638;86.47321428571429;96.1483837982162
3;T100:GS6;1104;Test;2110;98.59105205725656;98.1641554955502;98.37714066115305;99.5642051342849
3;T100:GS6;1104;GS91;92;88.2988298829883;86.96808510638297;87.6284055381867;96.43393168037461
4;T100:GS6;1104;Test;2110;98.74303439072334;98.23107283817724;98.48638828682178;99.55286555814587
4;T100:GS6;1104;GS91;92;91.22807017543859;88.51063829787233;89.8488120950324;97.41177641730128
1;T100:GS12;1170;Test;2110;98.79117089153301;97.86467141563745;98.32573865732994;99.51745083812395
1;T100:GS12;1170;GS91;92;91.90887666928515;87.4439461883408;89.62083492914591;97.90766275639706
2;T100:GS12;1170;Test;2110;98.70757678954101;98.25219921952511;98.47936158046953;99.57983016381571
2;T100:GS12;1170;GS91;92;86.45598194130926;85.79749103942652;86.12547785023612;96.15974549792648
3;T100:GS12;1170;Test;2110;98.87633214205222;98.13539552942304;98.50447055049919;99.58689426659934
3;T100:GS12;1170;GS91;92;90.29398040130658;85.77127659574468;87.9745396681064;96.51197694662905
4;T100:GS12;1170;Test;2110;99.07845759097972;98.37100825260137;98.72346554797357;99.61120875834393
4;T100:GS12;1170;GS91;92;92.71434917814305;88.80851063829788;90.71940882416865;97.44661788860684
1;T100:GS24;1302;Test;2110;98.88787034955116;97.66822118587608;98.27426174842725;99.49186991869918
1;T100:GS24;1302;GS91;92;91.72902717605356;87.03288490284005;89.31927133269414;97.82534129107499
2;T100:GS24;1302;Test;2110;98.95961647301661;98.30180567497851;98.62961426793862;99.62003679643655
2;T100:GS24;1302;GS91;92;86.73240699238009;86.69354838709677;86.71297333632086;96.22223484633301
3;T100:GS24;1302;Test;2110;98.94811564274652;97.9947912505792;98.46914610944762;99.57299461797429
3;T100:GS24;1302;GS91;92;90.19886363636364;84.44148936170212;87.22527472527473;96.38590382421805
4;T100:GS24;1302;Test;2110;98.79500659404188;98.10907786149981;98.45084748814058;99.53129328244238
4;T100:GS24;1302;GS91;92;90.23642732049036;87.70212765957447;88.95123003884333;97.01856552685283
1;T100:GS36;1434;Test;2110;98.57386451712912;97.76559216932301;98.16806463232646;99.47559115179251
1;T100:GS36;1434;GS91;92;89.96499416569428;86.43497757847534;88.16466552315609;97.59895726143925
2;T100:GS36;1434;Test;2110;98.57204458007165;98.27865599576691;98.42513165303217;99.5680418317384
2;T100:GS36;1434;GS91;92;85.2863436123348;86.73835125448028;86.00621945801866;95.94955405328636
3;T100:GS36;1434;Test;2110;98.64032258064516;97.71518046878744;98.17557209018595;99.5139211113178
3;T100:GS36;1434;GS91;92;89.45368171021377;83.46631205673759;86.35634028892457;95.97166356486763
4;T100:GS36;1434;Test;2110;98.91424132386682;98.22748475062791;98.56966685569748;99.5820371582449
4;T100:GS36;1434;GS91;92;90.62363715656345;88.42553191489361;89.51109196640103;97.18281817729331
1;T100:GS48;1566;Test;2110;98.81491688915683;97.99791591930166;98.40472065457914;99.53093895927518
1;T100:GS48;1566;GS91;92;92.4609375;88.45291479820628;90.41252864782277;98.07573574809632
2;T100:GS48;1566;Test;2110;98.5579396292793;98.20755340961705;98.38243454781882;99.55183287513209
2;T100:GS48;1566;GS91;92;84.79609929078015;85.7078853046595;85.24955436720143;95.76776685792194
3;T100:GS48;1566;Test;2110;97.80159473157504;96.8124370875741;97.30450213182807;99.27742267809437
3;T100:GS48;1566;GS91;92;85.86538461538461;79.16666666666666;82.380073800738;95.0771447439515
4;T100:GS48;1566;Test;2110;98.76018930055962;98.46429852888411;98.61202195610575;99.59576497005621
4;T100:GS48;1566;GS91;92;89.82471141513467;89.40425531914894;89.61399018980593;97.15793141207506
