Exp. No.;Combination;Train DS Length;Test DataSet;Test DS Length;Precision;Recall;F1Score;Accuracy
1;T100:GS0;1049;Test;2099;77.35129792855847;68.28460524910082;72.5357240805364;92.75571549082211
1;T100:GS0;1049;GS91;92;66.93396226415095;53.026905829596416;59.17431192660552;92.15202030596144
2;T100:GS0;1049;Test;2099;75.42869853595406;66.4167942737082;70.6364686499896;92.23718352571836
2;T100:GS0;1049;GS91;92;63.38514680483593;49.32795698924731;55.479969765684054;88.0247685053684
3;T100:GS0;1049;Test;2099;72.40870380342648;64.64335315693886;68.30603663182848;91.45340580251792
3;T100:GS0;1049;GS91;92;58.94919168591224;45.25709219858156;51.20361083249749;86.35408536951432
