Exp. No.;Combination;Train DS Length;Test DataSet;Test DS Length;Precision;Recall;F1Score;Accuracy
2;T100:GS3;1071;GS91;92;93.0679785330948;93.23476702508961;93.15129811996418;98.20485144577628
3;T100:GS3;1071;Test;2110;99.5252329875154;99.47752728202343;99.50137441667198;99.88001332731015
3;T100:GS3;1071;GS91;92;94.42696629213484;93.12943262411348;93.77371122517295;98.27099717836344
4;T100:GS3;1071;Test;2110;99.5512636415853;99.50125583064226;99.5262534544019;99.87865594916786
4;T100:GS3;1071;GS91;92;95.3819594302978;94.04255319148936;94.70752089136492;98.66606938430142
5;T100:GS3;1071;Test;2110;99.56502971743534;99.40165415278538;99.48327485962162;99.88196732820542
5;T100:GS3;1071;GS91;92;95.97053726169844;95.39190353143842;95.68034557235421;99.05727680391358
6;T100:GS3;1071;Test;2110;99.57878519684007;99.53310835162675;99.55594153503311;99.89273201686899
6;T100:GS3;1071;GS91;92;94.65524275805794;93.36016096579478;94.0032414910859;98.81346041626142
7;T100:GS3;1071;Test;2110;99.64069685032881;99.50621348037198;99.5734097572224;99.90789413712949
7;T100:GS3;1071;GS91;92;93.68029739776952;92.51950435979808;93.09628261371508;98.59231677413496
8;T100:GS3;1071;Test;2110;99.65508831829426;99.46622620186038;99.56056769432915;99.88563875380076
8;T100:GS3;1071;GS91;92;93.24503311258279;90.9169177787344;92.0662598081953;98.01914990627691
9;T100:GS3;1071;Test;2110;99.59555404667366;99.53972117725161;99.56762978484785;99.9107317391021
9;T100:GS3;1071;GS91;92;93.01416707376649;91.8918918918919;92.44962369507162;97.78300088934063
10;T100:GS3;1071;Test;2110;99.62485233549376;99.58828692252453;99.60656627323293;99.90968003714238
10;T100:GS3;1071;GS91;92;94.96593489780469;95.00189322226429;94.98391065682378;98.89001864090832
1;T100:GS0;1038;Test;2110;99.51951849255339;99.42431541365585;99.47189417374511;99.87139774143738
1;T100:GS0;1038;GS91;92;94.81007897705905;94.20777279521674;94.50796626054358;98.96069150030871
2;T100:GS0;1038;Test;2110;99.59583913072285;99.42456511674052;99.51012842579107;99.88464275038628
2;T100:GS0;1038;GS91;92;93.21653189577718;92.96594982078852;93.09107222969942;98.13668124751462
3;T100:GS0;1038;Test;2110;99.58691579806907;99.3800629523703;99.48338184958894;99.88021773390759
3;T100:GS0;1038;GS91;92;95.42543458371455;92.4645390070922;93.92165691130123;98.27700066038302
4;T100:GS0;1038;Test;2110;99.57615703740953;99.4707570864729;99.5234291560837;99.88625527356342
4;T100:GS0;1038;GS91;92;95.1409978308026;93.31914893617022;94.22126745435015;98.5565676173411
5;T100:GS0;1038;Test;2110;99.63480021911987;99.48287007110537;99.55877718247717;99.89600838953415
5;T100:GS0;1038;GS91;92;95.06279774794282;94.53057708871663;94.7959404016411;98.7566245413779
6;T100:GS0;1038;Test;2110;99.62928333579384;99.50034402542511;99.5647719355764;99.89126259244254
6;T100:GS0;1038;GS91;92;93.8984438984439;92.27364185110663;93.07895270955956;98.60727484925111
7;T100:GS0;1038;Test;2110;99.65384234991593;99.50785943543742;99.58079739089614;99.90922350009875
7;T100:GS0;1038;GS91;92;93.33022388059702;91.83111519045434;92.57460097154754;98.5014985014985
8;T100:GS0;1038;Test;2110;99.63102199944305;99.52881856906893;99.57989406024127;99.8973681123853
8;T100:GS0;1038;GS91;92;91.43730886850153;90.0990099009901;90.76322636600173;97.71518313997669
9;T100:GS0;1038;Test;2110;99.62479319309855;99.49398834550416;99.5593478052273;99.90796246823483
9;T100:GS0;1038;GS91;92;91.35984290623466;89.81660231660231;90.58165003650524;97.33197814763054
10;T100:GS0;1038;Test;2110;99.6501094406544;99.5324343732546;99.59123714632432;99.90616867789521
10;T100:GS0;1038;GS91;92;94.74290099769762;93.48731541082923;94.11092052601487;98.66548042704626
