Exp. No.;Combination;Train DS Length;Test DataSet;Test DS Length;Precision;Recall;F1Score;Accuracy
7;Synth100:GS06;1104;GS91;92;88.53503184713377;82.92794860027536;85.63981042654028;96.75778766687858
8;Synth100:GS06;1104;Test;2110;96.06128047202526;96.80952794923063;96.43395278754394;99.02037299360299
8;Synth100:GS06;1104;GS91;92;79.03087478559176;79.33706414119673;79.18367346938776;94.51339986828107
9;Synth100:GS06;1104;Test;2110;96.60299113248335;96.91082097809249;96.75666121691484;99.25783540757152
9;Synth100:GS06;1104;GS91;92;83.90342052313883;80.5019305019305;82.16748768472905;94.65760386227925
10;Synth100:GS06;1104;Test;2110;97.85761424179503;97.01747386898589;97.43573305981153;99.36893071307902
10;Synth100:GS06;1104;GS91;92;88.60103626943005;84.17266187050359;86.33009708737865;96.67429249279783
1;Synth100:GS08;1126;Test;2110;97.72045384005243;96.81067322639608;97.26343610822686;99.2283864486242
1;Synth100:GS08;1126;GS91;92;89.01142181961403;84.45440956651719;86.67305848513902;97.39315359813403
2;Synth100:GS08;1126;Test;2110;96.73314371208261;97.28818043521397;97.00986817698414;99.18365800364596
2;Synth100:GS08;1126;GS91;92;80.41237113402062;83.87096774193549;82.10526315789475;94.71680963472136
3;Synth100:GS08;1126;Test;2110;96.14755530147842;96.74053717225623;96.44313475629181;99.04766966258603
3;Synth100:GS08;1126;GS91;92;82.65765765765765;81.33865248226951;81.9928507596068;94.74094975085549
4;Synth100:GS08;1126;Test;2110;97.89963298084959;96.66666666666667;97.27924317102674;99.22290779568114
4;Synth100:GS08;1126;GS91;92;88.68096759470562;82.68085106382979;85.57586434706012;96.35657757204719
5;Synth100:GS08;1126;Test;2110;95.63226780352669;95.55301410505031;95.59262452742587;98.8095812692242
5;Synth100:GS08;1126;GS91;92;82.23175965665236;82.51507321274764;82.3731728288908;95.37810843864656
6;Synth100:GS08;1126;Test;2110;97.93300774505451;97.56561056321877;97.74896393254276;99.39060869857276
6;Synth100:GS08;1126;GS91;92;84.39542483660131;83.13883299798793;83.7624163794851;96.49873565454192
7;Synth100:GS08;1126;Test;2110;97.94283239497618;96.78051189202534;97.35820314763762;99.36437459169566
7;Synth100:GS08;1126;GS91;92;85.81146744412051;81.04635153740249;83.36086853906066;96.2446644264826
8;Synth100:GS08;1126;Test;2110;97.7621326997659;97.29809614883074;97.52956246677762;99.28496025551956
8;Synth100:GS08;1126;GS91;92;85.68161024702653;80.62849763237193;83.07828786870704;95.55195298647348
9;Synth100:GS08;1126;Test;2110;98.14387211367674;97.81810134985616;97.98071594813256;99.52743207141461
9;Synth100:GS08;1126;GS91;92;84.88997555012226;83.78378378378379;84.3332523682293;95.35637149028078
10;Synth100:GS08;1126;Test;2110;97.49570853320071;96.97917497805793;97.23675578809261;99.29109558310022
10;Synth100:GS08;1126;GS91;92;86.97996918335902;85.49791745550928;86.2325759022341;96.58108795119472
1;Synth100:GS10;1148;Test;2110;97.31556319862425;96.6688874083944;96.99114740892456;99.18303845509851
1;Synth100:GS10;1148;GS91;92;86.38479441427464;83.22122571001495;84.77350590026646;97.0432873705152
2;Synth100:GS10;1148;Test;2110;96.61461816236458;95.56022223692044;96.08452764938649;98.94515478501029
2;Synth100:GS10;1148;GS91;92;83.92267798208393;79.74910394265234;81.78267861245119;94.79634153269329
3;Synth100:GS10;1148;Test;2110;97.21894352191698;96.06947129595603;96.64078949483262;99.15253024706625
3;Synth100:GS10;1148;GS91;92;84.75143403441683;78.5904255319149;81.55473781048758;94.84300894518822
4;Synth100:GS10;1148;Test;2110;97.12487794293155;96.36167922497309;96.74177338304425;99.09641581541977
4;Synth100:GS10;1148;GS91;92;88.46499102333932;83.87234042553192;86.10747051114022;96.43123786770195
5;Synth100:GS10;1148;Test;2110;98.28318288197927;97.44749970994316;97.86355729777868;99.39886706186404
5;Synth100:GS10;1148;GS91;92;88.6859688195991;85.74504737295435;87.19071600613094;96.69282511210763
6;Synth100:GS10;1148;Test;2110;99.19429708222812;98.02103469742146;98.60417593645458;99.6139612113935
6;Synth100:GS10;1148;GS91;92;92.17877094972067;86.31790744466801;89.15211970074812;97.68527523828048
7;Synth100:GS10;1148;Test;2110;98.6265643787363;95.85713110032096;97.22212947814765;99.31518816183285
7;Synth100:GS10;1148;GS91;92;88.41836734693878;79.53189536484626;83.7400338245953;96.439923712651
8;Synth100:GS10;1148;Test;2110;97.2221252226141;96.81474397983135;97.01800695188562;99.13653875650755
8;Synth100:GS10;1148;GS91;92;82.06055128784455;78.17477399913905;80.0705467372134;94.73124271746289
9;Synth100:GS10;1148;Test;2110;97.78433163166011;96.35907649184922;97.06647248517632;99.30100345344367
9;Synth100:GS10;1148;GS91;92;84.13685847589424;78.33011583011583;81.12971757060735;94.38444924406048
10;Synth100:GS10;1148;Test;2110;98.0773860153103;97.52333838665922;97.79957751888362;99.43818252045367
10;Synth100:GS10;1148;GS91;92;88.30567348514087;86.63385081408558;87.46177370030583;96.92001355702423
1;Synth100:GS12;1170;Test;2110;95.45793126798714;96.32381830916141;95.88892006564124;98.79537124890699
1;Synth100:GS12;1170;GS91;92;81.64556962025317;81.95067264573991;81.79783662812383;96.1857721067435
2;Synth100:GS12;1170;Test;2110;98.24835471647943;97.75448111647596;98.0007957032027;99.44931648724544
2;Synth100:GS12;1170;GS91;92;85.43468365953572;84.09498207885304;84.75953939941296;95.50076691473043
3;Synth100:GS12;1170;Test;2110;96.8322277948552;95.63008292456901;96.2274009823388;98.97592294688904
3;Synth100:GS12;1170;GS91;92;84.96420047732697;78.90070921985816;81.82027120202252;94.66890796662064
4;Synth100:GS12;1170;Test;2110;99.16366677575361;97.85073555794762;98.50282638926514;99.55139472116608
4;Synth100:GS12;1170;GS91;92;92.47165532879819;86.7659574468085;89.52799121844126;97.25250111990444
5;Synth100:GS12;1170;Test;2110;96.52127464236233;95.8397560207515;96.17930805056554;98.95986450375818
5;Synth100:GS12;1170;GS91;92;83.84240814519698;81.56761412575366;82.689369133377;95.58703628210354
6;Synth100:GS12;1170;Test;2110;98.5843590992292;96.17312669964943;97.36381653688916;99.3016035618848
6;Synth100:GS12;1170;GS91;92;89.21700223713647;80.24144869215291;84.4915254237288;96.73215327757245
7;Synth100:GS12;1170;Test;2110;98.12218989685269;97.70389268372973;97.91259453530279;99.4919934367451
7;Synth100:GS12;1170;GS91;92;88.10784785748676;83.98347865993576;85.99624060150376;96.87131050767415
8;Synth100:GS12;1170;Test;2110;98.25534595597242;97.62496739980875;97.93914234133665;99.4175922333601
8;Synth100:GS12;1170;GS91;92;86.20218579234972;81.4894532931554;83.77959725603009;95.60768022696186
9;Synth100:GS12;1170;Test;2110;98.76730656484418;96.92557350446263;97.83777344273524;99.48458982211507
9;Synth100:GS12;1170;GS91;92;88.70880605078337;79.24710424710425;83.7114453224573;95.31190445940794
10;Synth100:GS12;1170;Test;2110;97.47373447946514;97.71483284129897;97.59413475714229;99.39565605846022
10;Synth100:GS12;1170;GS91;92;86.24478969306556;86.17947747065506;86.2121212121212;96.44975427893577
