Exp. No.;Combination;Train DS Length;Test DataSet;Test DS Length;Precision;Recall;F1Score;Accuracy
1;T100:GS0;1050;Test;2098;98.08626547976749;95.88903835067396;96.97520752935951;99.3092561941237
1;T100:GS0;1050;GS91;92;93.37231968810916;89.49925261584455;91.39477199007824;98.19921794607944
2;T100:GS0;1050;Test;2098;96.8824643769047;96.87182584346776;96.87714481811942;99.3252968949178
2;T100:GS0;1050;GS91;92;88.84408602150538;88.84408602150538;88.84408602150538;96.80736238141225
3;T100:GS0;1050;Test;2098;98.96000676418365;96.39004035468197;97.65811870723704;99.45135125160051
3;T100:GS0;1050;GS91;92;94.25996204933587;88.07624113475178;91.06324472960587;97.27441916311462
4;T100:GS0;1050;Test;2098;98.24313037076887;95.25352074011036;96.72523015380754;99.3057073665144
4;T100:GS0;1050;GS91;92;94.46428571428571;90.04255319148936;92.20043572984748;98.0239908416704
