Exp. No.;Combination;Train DS Length;Test DataSet;Test DS Length;Precision;Recall;F1Score;Accuracy
1;T100:GS0;1049;Test;1049;97.22927730316324;94.94926719278467;96.07574720511064;99.04093917394606
1;T100:GS0;1049;GS91;92;82.57790368271955;65.35874439461884;72.96620775969961;94.67654524250531
2;T100:GS0;1049;Test;1049;96.17266114110461;95.05950144056119;95.61284144743473;98.92867452875579
2;T100:GS0;1049;GS91;92;75.29644268774703;68.27956989247312;71.61654135338344;91.8479804578765
3;T100:GS0;1049;Test;1049;98.75211230989211;95.16472504071152;96.92523602959939;99.2539747030333
3;T100:GS0;1049;GS91;92;82.8107502799552;65.55851063829788;73.1815932706581;92.0994176622441
4;T100:GS0;1049;Test;1049;98.87684066147357;95.72090692722034;97.27328275370436;99.32748131595548
4;T100:GS0;1049;GS91;92;83.56694055099082;73.57446808510637;78.2529984159312;94.3905231198049
